,AidData TUFF Project ID,city_temp_id,region_temp_id,country_id
2194,36057.0,182,,200
2195,36058.0,183,,200
2196,37131.0,184,,200
2197,53872.0,74,,200
2198,54137.0,185,,200
2199,54138.0,186,,200
2200,71792.0,74,,200
2201,65153.0,4,,246
2202,39326.0,51,,222
2203,39344.0,52,,222
2204,61186.0,53,,222
2205,69380.0,54,,222
2206,39086.0,131,,019
2207,39090.0,132,,019
2208,73599.0,133,,019
2209,38251.0,1541,,237
2210,43808.0,1542,,237
2211,44245.0,377,,190
2212,43051.0,1511,,247
2213,67169.0,1512,,247
2214,68219.0,33,,007
2215,55540.0,11,,124
2216,2258.0,26,,084
2217,2260.0,27,,084
2218,22222.0,28,,084
2219,33329.0,72,,204
2220,33369.0,73,,204
2221,33452.0,74,,204
2222,71664.0,75,,204
2223,71667.0,76,,204
2224,71670.0,77,,204
2225,71672.0,78,,204
2226,1007.0,14,,150
2227,1013.0,53,,150
2228,1050.0,54,,150
2229,1051.0,55,,150
2230,1059.0,56,,150
2231,34178.0,57,,150
2232,35442.0,58,,150
2233,73214.0,59,,150
2234,67637.0,112,,151
2235,40063.0,49,,205
2236,53750.0,50,,205
2237,54106.0,51,,205
2238,70910.0,52,,205
2239,71101.0,53,,205
2240,43930.0,400,,231
2241,38192.0,23,,217
2242,43756.0,26,,136
2243,43758.0,27,,136
2244,68450.0,28,,136
2245,68465.0,29,,136
2246,56523.0,99,,137
2247,40393.0,25,,206
2248,42496.0,518,,191
2249,54994.0,65,,023
2250,70580.0,84,,213
2251,39212.0,21,,225
2252,64066.0,22,,225
2253,37442.0,114,,069
2254,37443.0,115,,069
2255,34616.0,111,,232
2256,38383.0,112,,232
2257,63652.0,113,,232
2258,63663.0,114,,232
2259,63670.0,115,,232
2260,64398.0,116,,232
2261,64463.0,117,,232
2262,65174.0,49,,208
2263,354.0,51,,114
2264,56956.0,52,,114
2265,20216.0,43,,115
2266,20463.0,44,,115
2267,34625.0,56,,192
2268,34722.0,57,,192
