id,country,confucius_institute,partner_uni,status,location_alt
427,United Kingdom,Confucius Institute at Bangor University,,Open,
428,United Kingdom,Confucius Institute at Cardiff University,,Open,
429,United Kingdom,Confucius Institute at Coventry University,,Closed,
430,United Kingdom,Confucius Institute at De Montfort University,,Closed,
431,United Kingdom,Confucius Institute at Edge Hill university,,Closed,
432,United Kingdom,Confucius Institute at Lancaster University,,Closed,
433,United Kingdom,Confucius Institute at Newcastle University,,Closed,
434,United Kingdom,Confucius Institute at Oxford Brooks University,,Closed,
435,United Kingdom,Confucius Institute at Queen Mary University of London,,Closed,
436,United Kingdom,Confucius Institute at UCL Institute of Education,,Closed,
437,United Kingdom,Confucius Institute at Ulster University,,Open,
438,United Kingdom,Confucius Institute at University of Liverpool,,Open,
439,United Kingdom,Confucius Institute at the University of Central Lancashire,,Closed,
440,United Kingdom,Confucius Institute at the University of Glasgow,,Closed,
441,United Kingdom,Confucius Institute at the University of Hull,,Closed,
